NODE_9_length_9095_cov_1.230709	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; unclassified Paracoccaceae; Paracoccaceae bacterium; 
NODE_407_length_2966_cov_2.183515	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_485_length_2824_cov_1.834260	cellular organisms; Bacteria; 
NODE_491_length_2804_cov_1.467314	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_690_length_2543_cov_1.029387	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_724_length_2488_cov_1.240152	Viruses; unclassified viruses; unclassified DNA viruses; unclassified dsDNA viruses; Prokaryotic dsDNA virus sp.; 
NODE_815_length_2389_cov_0.729443	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_835_length_2370_cov_2.359340	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_844_length_2368_cov_1.110665	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_974_length_2238_cov_1.324491	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_1004_length_2212_cov_0.969305	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Ormenosvirus; Ormenosvirus syn9; Synechococcus phage syn9; 
NODE_1042_length_2185_cov_1.550049	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_1054_length_2176_cov_1.174231	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_1121_length_2139_cov_2.213718	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A5; 
NODE_1238_length_2073_cov_0.759507	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp.; 
NODE_1368_length_2010_cov_0.916091	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium TMED54; 
NODE_1407_length_1987_cov_2.364516	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_1415_length_1985_cov_0.784177	
NODE_1533_length_1933_cov_0.654485	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; unclassified Autographiviridae; Prochlorococcus phage P-SCSP2; 
NODE_1655_length_1881_cov_1.217788	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_1723_length_1850_cov_1.290192	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_1766_length_1835_cov_1.211358	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_1832_length_1815_cov_1.130924	Viruses; environmental samples; uncultured marine virus; 
NODE_1849_length_1809_cov_2.557669	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_1935_length_1784_cov_4.525649	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_1978_length_1773_cov_2.296476	Viruses; environmental samples; uncultured marine virus; 
NODE_2032_length_1760_cov_1.169014	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_2099_length_1742_cov_1.215480	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes; Caudoviricetes sp.; 
NODE_2185_length_1718_cov_1.585167	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_2218_length_1711_cov_1.127525	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_2252_length_1703_cov_1.510787	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_2287_length_1694_cov_1.500957	Viruses; environmental samples; uncultured marine virus; 
NODE_2344_length_1683_cov_1.014781	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; 
NODE_2473_length_1652_cov_1.436066	cellular organisms; Bacteria; FCB group; Candidatus Marinimicrobia; environmental samples; uncultured Marinimicrobia bacterium HF0010_18O13; 
NODE_2537_length_1636_cov_0.759443	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_2750_length_1590_cov_3.861928	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_2761_length_1588_cov_0.837098	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_2846_length_1574_cov_0.844506	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_2877_length_1568_cov_0.761971	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_2886_length_1566_cov_1.363447	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_2950_length_1552_cov_6.444912	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Auxenochlorella; Auxenochlorella protothecoides; 
NODE_3029_length_1540_cov_0.553432	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium; 
NODE_3095_length_1529_cov_1.131954	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. RS39; 
NODE_3198_length_1513_cov_0.900433	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_3249_length_1506_cov_0.783901	cellular organisms; Bacteria; 
NODE_3304_length_1499_cov_0.817784	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_3360_length_1491_cov_0.480938	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_3421_length_1482_cov_0.845018	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_3491_length_1471_cov_1.003720	Viruses; environmental samples; uncultured marine virus; 
NODE_3501_length_1470_cov_0.838421	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_3548_length_1464_cov_0.643979	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; unclassified Acidimicrobiaceae; Acidimicrobiaceae bacterium TMED77; 
NODE_3624_length_1454_cov_1.142427	Viruses; environmental samples; uncultured marine virus; 
NODE_3704_length_1440_cov_1.704494	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_3720_length_1439_cov_0.954268	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium TMED235; 
NODE_3791_length_1432_cov_0.733333	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_3880_length_1422_cov_1.230116	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_3948_length_1413_cov_1.223173	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes; Caudoviricetes sp.; 
NODE_4035_length_1402_cov_0.947451	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_4072_length_1397_cov_1.082677	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_4379_length_1363_cov_1.542880	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_4412_length_1359_cov_1.023539	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; unclassified Paracoccaceae; Paracoccaceae bacterium; 
NODE_4509_length_1351_cov_0.562092	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A3; 
NODE_4576_length_1344_cov_0.736237	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_4757_length_1327_cov_0.676667	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; Eurybiavirus MED4213; Prochlorococcus phage MED4-213; 
NODE_4799_length_1322_cov_1.218410	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_4879_length_1315_cov_0.642256	cellular organisms; Archaea; Candidatus Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales; Candidatus Poseidoniales archaeon; 
NODE_4922_length_1312_cov_1.158650	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_4975_length_1308_cov_1.955970	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_4989_length_1307_cov_1.115254	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Haifavirus; Haifavirus tim68; Prochlorococcus phage P-TIM68; 
NODE_5046_length_1302_cov_7.649362	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_5055_length_1302_cov_0.893617	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_5069_length_1301_cov_1.033220	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_5164_length_1293_cov_1.042024	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_5258_length_1286_cov_1.301122	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_5322_length_1281_cov_3.004333	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_5338_length_1280_cov_0.892454	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_5441_length_1273_cov_0.510471	cellular organisms; Bacteria; FCB group; Candidatus Marinimicrobia; Candidatus Marinimicrobia bacterium; 
NODE_5487_length_1269_cov_1.023643	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_5570_length_1263_cov_2.543134	Viruses; environmental samples; uncultured marine virus; 
NODE_5678_length_1254_cov_0.572316	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; Candidatus Actinomarineae; Candidatus Actinomarinaceae; Candidatus Actinomarina; Candidatus Actinomarina minuta; 
NODE_5754_length_1247_cov_1.179464	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_5797_length_1244_cov_0.883617	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_5914_length_1234_cov_2.296296	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium TMED113; 
NODE_6022_length_1227_cov_1.442727	Viruses; environmental samples; uncultured marine virus; 
NODE_6205_length_1216_cov_0.651056	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_6271_length_1212_cov_0.747465	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_6333_length_1208_cov_0.779833	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_6392_length_1204_cov_0.885794	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_6486_length_1198_cov_0.840336	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_6539_length_1195_cov_0.695693	cellular organisms; Bacteria; unclassified Bacteria; bacterium HD9-500m-PIT-SAG08; 
NODE_6624_length_1190_cov_1.053622	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Libanvirus; unclassified Libanvirus; Libanvirus sp.; 
NODE_6692_length_1186_cov_0.688385	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_6772_length_1181_cov_1.025617	
NODE_7015_length_1168_cov_1.496638	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; Eurybiavirus MED4213; Prochlorococcus phage MED4-213; 
NODE_7079_length_1165_cov_0.413295	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_7148_length_1161_cov_1.000967	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_7245_length_1156_cov_1.172983	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; 
NODE_7314_length_1152_cov_0.908293	
NODE_7481_length_1143_cov_1.114173	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_7505_length_1142_cov_1.000985	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_7516_length_1142_cov_0.776355	cellular organisms; Bacteria; 
NODE_7595_length_1137_cov_1.057426	
NODE_7798_length_1127_cov_0.630000	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_7827_length_1125_cov_0.696393	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_7844_length_1124_cov_0.731194	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_7946_length_1119_cov_0.838710	cellular organisms; Archaea; Candidatus Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales; Marine Group II euryarchaeote MED-G37; 
NODE_7992_length_1117_cov_0.582828	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_8015_length_1115_cov_1.356275	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; unclassified Burkholderiaceae; Burkholderiaceae bacterium; 
NODE_8192_length_1107_cov_2.185714	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_8280_length_1103_cov_1.889344	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_8291_length_1103_cov_0.953893	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_8301_length_1103_cov_0.619877	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; Cryomorphaceae bacterium; 
NODE_8404_length_1098_cov_3.133883	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; Prochlorococcus marinus str. AS9601; 
NODE_8501_length_1094_cov_1.192347	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_8520_length_1093_cov_2.006211	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; 
NODE_8535_length_1093_cov_0.332298	cellular organisms; Bacteria; FCB group; Candidatus Marinimicrobia; Candidatus Marinimicrobia bacterium; 
NODE_8584_length_1091_cov_0.724066	cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfuromonadia; Desulfuromonadales; Desulfuromonadaceae; Desulfuromonas; unclassified Desulfuromonas; Desulfuromonas sp.; 
NODE_8674_length_1087_cov_1.162500	
NODE_9004_length_1072_cov_1.866667	Viruses; environmental samples; uncultured marine virus; 
NODE_9074_length_1070_cov_0.489926	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; SAR86 cluster; SAR86 cluster bacterium; 
NODE_9110_length_1068_cov_0.799150	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_9160_length_1066_cov_1.351438	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_9212_length_1064_cov_0.618997	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_9240_length_1062_cov_2.011765	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_9279_length_1060_cov_2.418006	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_9294_length_1060_cov_0.833869	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; unclassified Kyanoviridae; Synechococcus phage S-SCSM1; 
NODE_9393_length_1056_cov_0.793326	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; unclassified Acidimicrobiaceae; Acidimicrobiaceae bacterium TMED130; 
NODE_9437_length_1054_cov_1.144552	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_9523_length_1051_cov_1.014069	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Libanvirus; unclassified Libanvirus; Libanvirus sp.; 
NODE_9580_length_1048_cov_1.312704	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; unclassified Eurybiavirus; Eurybiavirus sp.; 
NODE_9614_length_1047_cov_0.669565	
NODE_9909_length_1036_cov_0.759076	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_9934_length_1035_cov_0.842511	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_10052_length_1031_cov_0.788717	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; SAR86 cluster; SAR86 cluster bacterium; 
NODE_10130_length_1028_cov_1.068812	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_10183_length_1026_cov_1.809789	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_10307_length_1022_cov_1.263687	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_10361_length_1020_cov_1.377380	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_10441_length_1017_cov_1.716854	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_10488_length_1016_cov_0.701912	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_10554_length_1013_cov_1.042889	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; unclassified Paracoccaceae; Paracoccaceae bacterium; 
NODE_10650_length_1010_cov_0.431484	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_10730_length_1007_cov_0.737500	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Proteobacteria bacterium TMED154; 
NODE_10770_length_1006_cov_0.533561	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_10794_length_1005_cov_0.898633	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_10811_length_1005_cov_0.607062	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Candidatus Atelocyanobacterium; Candidatus Atelocyanobacterium thalassa; 
NODE_10892_length_1002_cov_0.779429	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Proteobacteria bacterium TMED154; 
NODE_17_length_7739_cov_5.832633	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_126_length_4115_cov_1.864845	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Libanvirus; Libanvirus ptim40; Cyanophage P-TIM40; 
NODE_286_length_3297_cov_4.407571	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_467_length_2860_cov_0.881083	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon TMED97; 
NODE_593_length_2674_cov_1.184138	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium TMED180; 
NODE_702_length_2521_cov_0.914369	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Flammeovirgaceae; unclassified Flammeovirgaceae; Flammeovirgaceae bacterium; 
NODE_800_length_2401_cov_0.756816	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_875_length_2333_cov_1.184497	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; unclassified Rhodobacterales; Rhodobacterales bacterium; 
NODE_1101_length_2154_cov_0.820918	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; 
NODE_1257_length_2062_cov_0.977261	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
